"REGION","ZONA","NIS","PROVINCIA","PARTIDO","LOCALIDAD","CALLE","NUMERO","CPA_CALLE","CATEGORIA","DENOMINACION","TITULAR","CPA_SUCURSAL","DIVISION","CENTRO_DE_COSTO","CENTRO_DE_BENEFICIO","PUNTO_VENTA","TELEFONOS","HORARIOS" 
"CENTRO","ZONA 7","A0000","SALTA","CAPITAL","SALTA","DEAN FUNES","160","A4400EDD","SUCURSAL","SALTA","ROBERTO FELIX CEFERINO AGUIRRE","A4400ZAA","P010","71017010","9171747010","AUTO/AUTO 2442 - MANUAL/AUTO 0714","(0387) 421-4741/421-2643/431-0567","LUN A VIE 09.00 A 18.00" 
"CENTRO","ZONA 7","A0006","SALTA","GENERAL JOSE DE SAN MARTIN","AGUARAY","GRAL MARTIN M GUEMES","99","A4566ARA","SUCURSAL","AGUARAY","JULIAN SARZUR","A4566ZAA","P103","71017103","9171701103","MANUAL 0715","(03873) 461419","LUN A VIE 08.00 A 13.00 / LUN A VIE 17.00 A 20.00" 
"CENTRO","ZONA 7","A0007","SALTA","ANTA","APOLINARIO SARAVIA","GRAL JUAN B PEYROTTI","100","A4449AVB","SUCURSAL","APOLINARIO SARAVIA","PLAZA OCHOA ESTEBAN MOISES","A4449ZAA","P104","71017104","9171704104","MANUAL 0716","(03877) 493006","LUN A VIE 08.00 A 13.00 / LUN A VIE 17.00 A 20.00" 
"CENTRO","ZONA 7","A0008","SALTA","CACHI","CACHI","AV GRAL MARTIN M GUEMES","102","A4417ARO","SUCURSAL","CACHI","MAMANI, ROGELIO","A4417ZAA","P111","71017111","9171705111","MANUAL 0717","(03868) 491131","LUN A VIE 08.00 A 13.00 / LUN A VIE 17.00 A 20.00" 
"CENTRO","ZONA 7","A0009","SALTA","CAFAYATE","CAFAYATE","AV GUEMES","197","A4427APB","SUCURSAL","CAFAYATE","MOYA, RENE WALBERTO","A4427ZAA","P112","71017112","9171706112","MANUAL 0718","(03868) 422077","LUN A VIE 08.00 A 13.00 / LUN A VIE 17.00 A 20.00" 
"CENTRO","ZONA 7","A0011","SALTA","ROSARIO DE LERMA","CAMPO QUIJANO","AV 9 DE JULIO","601","A4407AFA","AGENCIA","AGENCIA CAMPO QUIJANO","DOMINGUEZ, HERNAN GUSTAVO","A4407ZAA","P113","71017113","9171707113","MANUAL 0816","(0387) 4904743","LUN A VIE 08.00 A 13.00 / LUN A VIE 15.00 A 18.00" 
"CENTRO","ZONA 7","A0013","SALTA","CERRILLOS","CERRILLOS","FLORENTINO AMEGHINO","215","A4403AGE","SUCURSAL","CERRILLOS","MORALES RUBEN","A4403ZAA","P115","71017115","9171709115","MANUAL 0720","(0387) 4902909","LUN A VIE 08.00 A 13.00 / LUN A VIE 17.00 A 20.00" 
"CENTRO","ZONA 7","A0014","SALTA","CHICOANA","CHICOANA","DR ADOLFO MORILLO","195","A4423AQC","AGENCIA","CHICOANA","CRUZ JULIO ALFREDO","A4423ZAA","P116","71017116","9171710116","MANUAL 0721","(0387) 4907932","LUN A VIE 08.00 A 13.00 / LUN A VIE 18.00 A 19.00" 
"CENTRO","ZONA 7","A0015","SALTA","ORAN","COLONIA SANTA ROSA","SAN MARTIN","318","A4531BPH","AGENCIA","COLONIA SANTA ROSA","DELGADO, RAMON ALFREDO","A4531ZAA","P117","71017117","9171711117","MANUAL 0722","(03878) 494071","LUN A VIE 08.00 A 13.00" 
"CENTRO","ZONA 7","A0016","SALTA","CHICOANA","EL CARRIL","LUCIO D ANDREA","100","A4421AJB","AGENCIA","EL CARRIL","CARRASCO, RODOLFO EDGARDO","A4421ZAA","P121","71017121","9171714121","MANUAL 0723","(0387) 4908375","LUN A VIE 08.00 A 13.00 / LUN A VIE 18.00 A 19.00" 
"CENTRO","ZONA 7","A0017","SALTA","METAN","EL GALPON","AV GRAL SAN MARTIN","569","A4444BLF","AGENCIA","EL GALPON","GUTIERREZ HUGO DANIEL","A4444ZAA","P122","71017122","9171715122","MANUAL 0724","(03876) 491005/491492","LUN A VIE 08.00 A 13.00 / LUN A VIE 15.00 A 18.00" 
"CENTRO","ZONA 7","A0019","SALTA","GENERAL JOSE DE SAN MARTIN","EMBARCACION","24 DE SEPTIEMBRE","351","A4550ACG","AGENCIA","EMBARCACION","VAZQUEZ SERGIO ADOLFO","A4550ZAA","P123","71017123","9171720123","MANUAL 0725","(03878) 471227/47-1116","LUN A VIE 08.00 A 13.00 / LUN A VIE 17.00 A 20.00" 
